skill_number,version,name,school,type,cost,str_def,use,distance,rarity,skill_text,air,velocity,homing,recovery,notes
188,1,Hyperpunch,Ki,Attack,2,3,1,short,2,Add: Auto-Capture effect,No,,,,
189,1,Swift Punch,Ki,Attack,2,4,0,short,3,Requires: Level 2 or lower,No,,,,
190,1,Splashdown,Ki,Attack,2,5,1,short,3,,No,,,,
191,1,Swift Blow,Ki,Attack,2,7,1,short,1,Requires: Level 2 or lower,No,,,,
192,1,Dance of Death,Ki,Attack,5,X,0,short,4,STR = STR of all equipped short-ranged Ki attack.,No,N/A,N/A,3,
193,1,Aura Leak,Ki,Attack,2,X,0,short,5,STR = 50% of target's Aura.,No,,,,
194,1,Aura Backflow,Ki,Attack,4,X,0,short,4,STR = target's Aura.,No,,,,
195,1,Ki Palm,Ki,Attack,X,X,0,short,5,STR = Aura spent on this skill. Hold button to charge.,No,,,,
196,1,Sky Pursuit,Ki,Attack,0,3,1,short,3,Requires: Knocked down target. Add: Auto-Capture effect.,No,,,,
197,1,Pursuit,Ki,Attack,3,3,0,short,1,Requires: Knocked down target,No,,,,
198,1,Snap,Ki,Attack,2,0,0,medium,1,Knocks down target.,,,,,
199,1,Ki Lance,Ki,Attack,2,5,1,medium,3,Add: Pierce effect,,,,,
200,1,Ki Bullet,Ki,Attack,3,1,0,medium,2,Knocks down target.,,,,,
201,1,Heat from Void,Ki,Attack,3,X,0,medium,5,STR = double target's unassigned skill buttons.,,,,,
202,1,Hyper Ki Lance,Ki,Attack,4,7,1,medium,4,Add: Pierce effect,,,,,
203,1,Hyper Ki Bullet,Ki,Attack,5,3,0,medium,1,Knocks down target.,,,,,
204,1,Ki Cannon,Ki,Attack,X,X,0,medium,4,STR = Aura spent on this skill. Hold button to charge.,No,4,2,3,
205,1,Copy,Ki,Attack,0,X,1,-,1,Duplicates last attack skill that inflicted damage on you.,,,,,Is not restricted by requirments of copied skill
206,1,Recollection,Ki,Attack,2,X,1,-,2,Duplicates last attack skill you used.,,,,,Is not restricted by requirments of copied skill
207,1,Iron Skin,Ki,Defense,1,3,0,self,1,[Shelter] Add: Erases any short-range attack skill it blocks.,No,N/A,N/A,3,
208,1,Mind's Eye,Ki,Defense,2,5,1,self,3,[Shelter] Automatically projects when attacked.,No,N/A,N/A,5,
209,1,Block,Ki,Defense,0,2,0,self,1,[Brush],No,N/A,N/A,3,
210,1,Protect,Ki,Defense,1,4,0,self,2,[Brush],No,N/A,N/A,3,
211,1,Guard,Ki,Defense,2,6,0,self,3,[Brush],No,N/A,N/A,3,
212,1,Absorb Energy,Ki,Defense,2,4,0,self,1,[Absorb] Add: Aura increase = Aura cost of attack skill blocked.,No,N/A,N/A,3,
213,1,Learning,Ki,Defense,3,6,1,self,2,[Absorb] Add: Captures attack skill it blocks.,No,N/A,N/A,3,
214,1,Digestion,Ki,Defense,3,2,0,self,3,[Absorb] Add: Health increase = damaged blocked.,No,N/A,N/A,3,
215,1,Disrupt,Ki,Erase,3,-,1,short,4,Erases all of target's equipped attack skills.,No,,,,
216,1,Tiger Slayer,Ki,Erase,2,-,1,medium,3,Erases 1 of target's equipped attack skills.,,,,,
217,1,Dragon Slayer,Ki,Erase,2,-,1,medium,4,Erases 1 of target's equipped defensive skills. Penetrates defensive skills.,,,,,
218,1,Giant Slayer,Ki,Erase,3,-,1,medium,1,Erases target's equipped skill with highest Aura cost.,,,,,
219,1,Neutralization,Ki,Erase,1,-,0,medium,3,Resets target's status and attributes to their initial state.,,,,,
220,1,Steal Power,Ki,Erase,3,-,1,medium,2,Absorbs all target's Aura.,No,,,,
221,1,Lack,Ki,Erase,4,-,1,medium,5,Erases all of target's equipped unlimited-use skills.,,,,,
222,1,Exhaust,Ki,Erase,4,-,1,medium,1,Reduces target's Level by 50%.,,,,,
223,1,Refresh,Ki,Erase,0,-,0,self,2,Resets your status and attributes to their initial state.,No,,,,
224,1,Fatigue,Ki,Environment,2,-,1,env,1,Everyone's Aura recovery ceases while moving.,No,N/A,N/A,4,
225,1,Irregular Rhythm,Ki,Environment,3,-,1,env,1,Doubles Aura cost for all skills.,No,N/A,N/A,4,
226,1,Memory Lapse,Ki,Environment,3,-,1,env,1,All skills become single-use.,No,N/A,N/A,4,
227,1,Soul Cage,Ki,Environment,4,-,1,env,4,Everyone loses 1 Health for each capsule they capture.,No,N/A,N/A,4,
228,1,Chaos,Ki,Environment,4,-,1,env,3,Prohibits skills with Aura cost of 2 or lower (or X).,No,N/A,N/A,4,
229,1,Stagnant Air,Ki,Environment,5,-,1,env,4,Prevents everyone from using Nature skills for 1 min.,No,N/A,N/A,4,
230,1,Pin Down,Ki,Status,6,-,0,medium,5,[Hole] Prevents target from moving or using skills for 3 sec.,No,,,,
231,1,Mind Reading,Ki,Status,2,-,1,self,3,Listen in on target team's conversation.,No,N/A,N/A,N/A,"No Target Required, Only effects caster"
232,1,Tiger's Strength,Ki,Status,2,-,0,self,1,Increases damage of your attacks by 2 for 15 sec.,No,,,,
233,1,Lightning Speed,Ki,Status,2,-,0,self,3,Increases your movement speed by 50% for 15 sec.,No,,,,
234,1,Meditation,Ki,Status,4,-,1,self,2,Increases Aura recovery speed by 20%.,No,,,,
235,1,Void,Ki,Status,4,-,1,self,1,Immunity to attack damage for 15 sec.,,,,,
236,1,Trigger,Ki,Special,4,-,0,medium,1,Forces target to use equipped skill assigned to same button.,No,4,4,3,
237,1,Change the World,Ki,Erase,6,-,1,capsule,3,Respawns new capsules for everyone.,No,N/A,N/A,3,
238,1,Regenerate,Ki,Special,6,-,1,self,5,Regenerates Health while immobile.,No,N/A,N/A,3,
239,1,Jump ,Ki,Special,1,-,5,self,2,Jump 30 ft.,No,N/A,N/A,2,
240,1,Dash,Ki,Special,2,-,0,self,2,Dash 30 ft.,No,N/A,N/A,3,
241,1,Dhampir Claw,Faith,Attack,4,1,0,short,2,Add: Health increase = damage dealt.,No,,,,
242,1,Dhampir Fang,Faith,Attack,6,2,0,short,1,Add: Health increase = damage dealt.,No,,,,
243,1,Song of Succubus,Faith,Attack,3,2,1,short,4,Add: Level increase = damage dealt. Target's Level decreases by same number.,No,,,,
244,1,Succubus Tempt,Faith,Attack,6,3,1,short,5,Add: Level increase = damage dealt. Target's Level decreases by same number.,No,,,,
245,1,Muramasa Blade,Faith,Attack,6,10,1,short,5,Penalty: 2 Health,No,,,,
246,1,Lingering Flame,Faith,Attack,0,1,0,medium,2,Requires: Health 7 or lower,Yes,2,5,5,
247,1,Scream of Evil,Faith,Attack,0,1,0,medium,3,Penetrates obstacles. Penalty: 2 Health,,,,,
248,1,Greedy Spirit,Faith,Attack,0,2,1,medium,3,Add: Reduces target's Aura to 0.,,,,,
249,1,Agonies of Death,Faith,Attack,0,6,1,medium,2,Penetrates obstacles. Requires: Health 7 or lower.,,,,,
250,1,Seal of Death,Faith,Attack,2,2,0,medium,1,Can't be erased or overwritten. Penalty: 1 Health.,Yes,2,5,4,
251,1,Demon's Fire,Faith,Attack,2,3,0,medium,2,Penalty: 1 Health,,,,,
252,1,Reincarnation,Faith,Attack,2,3,1,medium,2,Add: Retain if you have enough Aura to use again.,,,,,
253,1,Hell's Fire,Faith,Attack,2,4,0,medium,1,Penalty: 2 Health,,,,,
254,1,Vampire Bat,Faith,Attack,3,3,1,medium,3,Add: Health increase = damage dealt.,Yes,2,4,3,
255,1,Swarm of Moths,Faith,Attack,3,5,1,medium,1,"Add: For 10 sec, target's button presses cause 1 damage.",,,,,
256,1,Fire of Gehenna,Faith,Attack,4,6,0,medium,4,Penalty: 2 Health,Yes,3,4,3,
257,1,Judge of Anubis,Faith,Attack,8,X,0,medium,2,STR = (target's Health - yours) x 2. Effective when target's Health > yours. Penalty: 3 Health.,Yes,3,3,2,
258,1,Venom Fang,Faith,Attack,3,2,0,long,2,"Add: For 10 sec, target's button presses cause 1 damage.",,,,,
259,1,Crawlers,Faith,Attack,5,5,0,long,3,[Crawl],,,,,
260,1,Spore Schism,Faith,Attack,5,8,1,medium,5,[Crawl] Explodes upon contact with target or any object.,,,,,
261,1,Thor's Hammer,Faith,Attack,3,4,1,medium,1,[Fall] Penetrates obstacles.,No,3,5,3,
262,1,Arrow of Artemis,Faith,Attack,3,6,1,medium,4,[Fall] Add: Retain if you have enough Aura to use again. Requires: Health 7 or lower.,,,,,
263,1,Demon's Venom,Faith,Attack,4,2,0,medium,3,"[Fall] Add: For 10 sec, target's button presses cause 1 damage.",,,,,
264,1,Sign of Saints,Faith,Attack,4,X,0,medium,3,[Fall] STR = double your unassigned skill buttons. Can't be erased or overwritten.,No,3,4,3,
265,1,Lucifer's Arrow,Faith,Attack,2,3,0,medium,5,[Rain] Penetrates obstacles. Requires: Health 7 or lower.,No,,,,
266,1,Binding Needle,Faith,Attack,2,X,0,medium,3,[Rain] STR = double target's unassigned skill buttons.,No,,,,
267,1,Celestial Ship,Faith,Attack,5,10,1,medium,3,[Rain] Penalty: 2 Health,No,,,,
268,1,Shield of Ruin,Faith,Defense,0,6,0,self,1,[Barrier] Penalty: 2 Health,No,N/A,N/A,3,
269,1,Shield of Aegis,Faith,Defense,2,5,0,self,1,[Barrier],No,N/A,N/A,3,
270,1,Guardian Angel,Faith,Defense,0,5,0,self,2,[Shelter] Automatically projects when attacked. Penalty: 2 Health.,No,N/A,N/A,5,
271,1,Protect Circle,Faith,Defense,2,4,0,self,2,[Shelter],No,N/A,N/A,3,
272,1,Devil's Arm,Faith,Defense,0,4,0,self,2,[Brush] Add: Erases any short-range attack skill it blocks. Penalty: 1 Health.,No,N/A,N/A,3,
273,1,Angel's Wing,Faith,Defense,2,4,0,self,3,[Brush] Add: Erases any short-range attack skill it blocks.,No,N/A,N/A,3,
274,1,Flash Hole,Faith,Defense,3,3,0,self,5,[Absorb] Add: Erases any attack skill it blocks. ,No,N/A,N/A,3,
275,1,Dark Hole,Faith,Defense,2,4,0,self,4,[Absorb] Add: Erases any attack skill it blocks. Penalty: 1 Health.,No,N/A,N/A,3,
276,1,Bloody Ritual,Faith,Erase,2,-,0,medium,2,Reduces target's Level by 50%. Penalty: 3 Health.,No,3,5,3,
277,1,Hungry Demon,Faith,Erase,4,-,0,medium,2,Erases target's equipped skill assigned to same button. Penalty: 1 Health.,No,,,,
278,1,Thieving Imp,Faith,Erase,2,-,1,capsule,2,Captures capsule you are touching.,No,,,,
279,1,Diabolical Trick,Faith,Erase,5,-,0,capsule,5,Erases capsule you are touching.,No,,,,
280,1,Vicious Balance,Faith,Erase,2,-,1,all,4,Everyone's Level decreases to player's lowest Level. Penalty: 2 Health,No,,,,
281,1,Fairy Ring,Faith,Erase,2,-,0,all,1,Reduces everyone's Aura to 0. Penalty: 1 Health.,No,,,,
282,1,Judgment,Faith,Erase,0,-,0,all,5,Erases Environmental crystals from battlefield. Penalty: 1 Health,No,,,,
283,1,Calamity,Faith,Erase,6,-,1,all,5,[Hole] Erases everyone's equipped skills.,No,,,,
284,1,Violent Change,Faith,Erase,6,-,1,capsule,1,Erases all capsules from battlefield.,No,,,,
285,1,Angel Tears,Faith,Erase,1,-,1,self,5,Resets your status and attributes to their initial state. Add: 1 Level.,No,,,,
286,1,Lunar Force,Faith,Environment,2,-,1,env,2,Increases damage of everyone's attack by 1.,No,N/A,N/A,4,
287,1,Necronomicon,Faith,Environment,4,-,1,env,5,"Everyone's attack skills lose all bonuses, restrictions, and penalties.",No,N/A,N/A,4,Removes all bonuses from everyones attacks
288,1,Athena's Command,Faith,Environment,4,-,1,env,2,Prohibits use of attack skills that deal <3 damage or STR = x.,No,N/A,N/A,4,
289,1,Spiritual World,Faith,Environment,5,-,1,env,5,Prevents everyone from using Ki skills for 1 min.,No,N/A,N/A,4,
290,1,Trance,Faith,Status,0,-,0,self,2,Increases damage of your attacks by 2 for 15 sec. Penalty: 1 Health.,No,,,,
291,1,Doppelganger,Faith,Status,4,-,1,self,3,Sets your attributes to match target's.,No,N/A,N/A,3,Instantly takes on +'s and -'s of current target
292,1,Demon's Wing,Faith,Status,5,-,1,self,5,Levitate 7 ft in air for 15 sec. Add: Invisibility; no one can lock onto you for 15 sec.,No,,,,
293,1,Angel's Breath,Faith,Special,1,-,0,short,4,Reverses target's attributes (Speed +2 becomes Speed -2).,No,,,,
294,1,Fusion,Faith,Special,3,-,0,short,5,Your Health and target's are averaged.,No,N/A,N/A,3,
295,1,Annoying Gift,Faith,Special,3,-,0,short,3,Forces target to capture your equipped skills.,No,,,,
296,1,Armaros,Faith,Special,3,-,1,all,2,Reverses everyone's attributes (Speed +2 becomes Speed -2).,No,,,,
297,1,Rebirth,Faith,Special,0,-,1,self,2,Restores 10 Health. Penalty: Reduces level to 0.,No,,,,
298,1,Invulnerability,Faith,Special,4,-,0,self,4,Immune to damage while immobile.,No,,,,
299,1,Amulet,Faith,Special,1,-,3,self,2,Automatically reverses effects of last Erase skill that hit you.,No,N/A,N/A,3,You must NOT of been the caster of the erase skill
300,1,Mephisto's Pact,Faith,Special,0,-,1,self,3,Immediately captures an unconsumed skill from your arsenal. Penalty: 3 Health.,,,,,
301,1,Delay Bomb,Psycho,Attack,3,3,0,medium,5+,[Parabola] Explodes on impact.,,,,,
302,1,Mini-Meteor,Psycho,Attack,4,3,0,medium,5+,[Fall],,,,,
303,1,Antigravity Trap,Psycho,Status,5,-,1,mine,5+,Detonates when target enters blast area. Levitates target 10ft in the air for 3 sec.,No,,,,
304,1,Charge,Psycho,Special,5,-,0,self,5+,Teleports you to target's start point. ,No,N/A,N/A,4,
305,1,Aura Cannon,Optical,Attack,6,6,0,long,5+,Requires: Maximum Aura,No,3,4,3,
306,1,Throttle Blaster,Optical,Attack,3,3,0,medium,5+,,,,,,
307,1,Boost Mine,Optical,Status,3,-,1,mine,5+,Increases your level by 2,No,,,,
308,1,Quantum Amp,Optical,Status,3,-,1,all,5+,Gives everyone 2 levels,No,,,,
309,1,Piece of Wind,Nature,Attack,0,1,1,medium,5+,[Arc] Add: Erase 1 equipped attack skill from target ,,,,,
310,1,Throttle Fireball,Nature,Attack,1,1,0,medium,5+,,,,,,
311,1,Tornado,Nature,Attack,4,4,0,medium,5+,[Move],No,2,1,3,Slower than Twister
312,1,Earthquake,Nature,Attack,5,3,0,all,5+,[Hole],No,,,,
313,1,Vacuum Palm,Ki,Attack,4,X,0,short,5+,STR = double target's unassigned skill buttons.,No,,,,
314,1,Backdraft Bullet,Ki,Attack,3,3,0,medium,5+,Requires: effective only against knocked down targets.,,,,,
315,1,Lost Dragon,Ki,Erase,3,-,1,medium,5+,Erase all of target's equipped defense skills,,,,,
316,1,Disremember,Ki,Erase,8,-,0,medium,5+,Erases target's equipped lowest cost Aura skill ,,,,,
317,1,True Muramasa,Faith,Attack,6,6,0,short,5+,Lose one life,No,,,,
318,1,Will-o'-the-Wisp,Faith,Attack,3,3,0,medium,5+,,Yes,1,4,4,
319,1,Jackpot,Faith,Attack,4,X,0,all,5+,"[Hole] STR randomly 0, 3, or 6",No,,,,
320,1,Joke of Anubis,Faith,Attack,4,X,0,medium,5+,STR = your Health - target's. Effective when your Health > target's. Penalty: 2 Health,Yes,3,5,3,
321,1,Excaliber,Psycho,Attack,4,X,0,short,5+,"STR randomly 0, 3, or 6",No,,,,
322,1,Knife Grind,Psycho,Attack,2,2,3,short,5+,Aura cost -1 per use ,No,,,,
323,1,Fast Bomb,Psycho,Attack,2,2,0,mine,5+,Sets then detonates.,No,N/A,N/A,3,Use +SPD or Dash to avoid hurting yourself
324,1,Shield Breaker,Psycho,Erase,3,-,1,short,5+,Pierces through defenses.,No,N/A,N/A,3,
325,1,Fast Wave,Optical,Attack,1,4,1,mine,5+,Explodes around self.,No,,,,
326,1,Twist Laser,Optical,Attack,2,2,0,long,5+,[Arc],,,,,
327,1,Erase Shell,Optical,Defense,6,2,0,self,5+,[Shetler] Add: Erases any attack skill it blocks,No,N/A,N/A,3,
328,1,Level Baton,Optical,Special,0,-,0,short,5+,Increases target's Level by 1. Penalty: 1 Level. ,No,,,,
329,1,Arc of Fire,Nature,Attack,2,2,0,medium,5+,[Arc],Yes,3,3,3,
330,1,Chill Breeze,Nature,Special,4,-,1,all,5+,Freezes everyone's skill buttons for 10 seconds.,No,,,,
331,1,Blessed Rain,Nature,Special,3,-,1,all,5+,Everyone gains +5 health ,No,,,,
332,1,Unison,Nature,Environment,2,-,1,all,5+,,No,N/A,N/A,4,Does not display text like other ENV skills.
333,1,Crawling Bullet,Ki,Attack,3,1,0,medium,5+,[Crawl] Knocks down target,No,5,3,3,
334,1,Dragon Bullet,Ki,Attack,3,2,0,medium,5+,,No,2,3,2,
335,1,Ethos Inspiration,Ki,Status,2,0,1,medium,5+,"Increases target's aura recovery speed by 20% ",No,5,4,3,
336,1,Vacuum Bullet,Ki,Special,3,-,0,medium,5+,Penetrates defensive skills.,Yes,4,4,3,No real use for this skill has been found
337,1,Dance of Moths,Faith,Attack,3,5,1,medium,5+,"Add: For 10 sec, target's button presses cause 1 damage.",Yes,3,4,4,
338,1,Illusion of Death,Faith,Attack,4,5,1,medium,5+,Penetrates defense skills. Penalty: 2 Health,,,,,
339,1,Judge of Ares,Faith,Erase,6,-,1,all,5+,"Erases everyone's equiped defensive skill. Penalty: 3 Health ",,,,,
340,1,Armaros Watch,Faith,Special,5,-,0,medium,5+,"Reverses target's attributes (Speed +2 becomes Speed -2) ",No,5,4,3,
341,1,Impact Burst,Psycho,Attack,3,6,1,long,5,Explodes on impact. Ricochets off objects.,,,,,
342,1,Vast Mayhem,Psycho,Status,4,-,1,all,5,"For 15 sec, inverts everyone's directional controls.",,,,,
343,1,Vapor Cloud,Psycho,Status,3,-,0,mine,5,Press once to set. Detonates when anyone enters blast area. Freezes target?s skill buttons for 3 sec.,,,,,
344,1,Freeze Shot,Psycho,Status,3,-,0,medium,5,"For 10 sec, prevents target from using same button. ",,,,,
345,1,Mobilize,Psycho,Special,6,-,1,all,2,All players are teleported to your start point.,,,,,
346,1,Teleportrap,Psycho,Special,3,-,3,mine,5,Press once to set. Detonates when anyone enters blast area. Teleports target to your start point.,,,,,
347,1,EL Bomb,Optical,Attack,4,2,0,medium,5,Penalty: 1 Level.,,,,,
348,1,Giga Ruin,Optical,Attack,7,4,1,long,5,Penetrates obstacles.,,,,,
349,1,Ground Laser,Optical,Attack,3,1,0,long,5,[Crawl],,,,,
350,1,Particle Mortar,Optical,Attack,4,2,0,long,5,[Parabola] Penetrates obstacles.,,,,,
351,1,Cooling,Optical,Erase,3,-,3,medium,3,[Parabola] Reduces target's Level by 1.,,,,,
352,1,Still Moment,Optical,Status,6,-,1,all,5,"For 5 sec, everyone is immobilized. Penalty: 2 Levels. ",,,,,
353,1,Place of Invisibility,Optical,Status,4,-,1,all,4,"For 15 sec, no one can be locked onto.",,,,,
354,1,Downcast,Optical,Special,1,-,0,self,3,Penalty: 1 Level.,,,,,
355,1,Life-Giving Sword,Nature,Attack,3,2,2,short,5,Add: Health increase = damage dealt.,,,,,
356,1,Geyser Impact,Nature,Attack,3,4,1,medium,5,[Hole] Effective against downed opponents.,,,,,
357,1,Rafflesia Fang,Nature,Defense,2,3,1,self,2,[Barrier] Add: Health increase = damage blocked. Anti-Pierce ,,,,,
358,1,Failing Wall,Nature,Defense,2,7,0,self,2,[Barrier] Reduces defensive strength each time used. ,,,,,
359,1,Protecting Air,Nature,Defense,3,3,1,self,5,[Shelter] Automatically projects when attacked. ,,,,,
360,1,Heat Devil,Nature,Status,7,-,1,self,4,"For 5 sec, no one can lock onto you; speed of movement increased by 90%. ",,,,,
361,1,Poison Blur,Nature,Status,4,-,0,mine,4,"Detonates when anyone enters blast area. For 10 sec, target's button presses cause 1 damage. ",,,,,
362,1,Pursuit Stopper,Ki,Attack,3,3,1,short,5,,,,,,
363,1,Young White Dragon,Ki,Attack,X,X,0,medium,5,[Crawl] STR = Aura spent on skill. Hold button to charge. ,,,,,
364,1,Tiger Prevails,Ki,Erase,7,-,1,short,5,"Erases 1 of target's attack skills. Penetrates defensive skills. ",,,,,
365,1,Martial Arts Scroll,Ki,Status,4,-,1,self,3,"For 5 sec, increases damage of your attacks by 3 . Aura recovery speed is increased by 90%. ",,,,,
363,1,Play Dead,Ki,Special,5,-,3,self,5,"Health recovers while immobile . For 30 sec, movement speed is reduced by 50%.",,,,,
367,1,Sword Slap,Ki,Special,3,-,0,short,5+,Briefly stops target?s movement,,,,,
368,1,Wings of Hope,Faith,Attack,4,3,0,medium,2,Requires: Health 3 or lower. Add: Health increase = damage dealt. ,,,,,
369,1,Arms of the Curse,Faith,Attack,3,2,3,short,5,"Add: For 10 sec, target's button presses cause 1 damage. ",,,,,
370,1,Dark Protection,Faith,Defense,2,3,5,self,5,[Shelter] Add: Protective power increases each time used. ,,,,,
371,1,Traveling Thought,Faith,Environment,3,-,1,env,2,"For 1 min, homing accuracy is increased by 50%. ",,,,,
372,1,Withering Curse,Faith,Status,2,-,1,mine,3,"Press once to set. Detonates when apporoached. For 10 sec, button presses cause 1 damage. ",,,,,
373,1,Venom Drip,Faith,Status,4,-,1,all,5,"For 15 sec, button presses cause 1 damage. ",,,,,
374,1,Phantom Dust,Faith,Special,99,-,1,all,1,???,,,,,
